"","sta_id","Declaracion","zsc_f1","zsc_f2","zsc_f3","fsc_f1","fsc_f2","fsc_f3","dist_cons","f1_f2","sig_f1_f2","f1_f3","sig_f1_f3","f2_f3","sig_f2_f3"
"1","D01","Preferiría caminar para realizar mis actividades diarias",1.86,0.12,0.61,4,0,1,"Distinguishes all",1.73827121964783,"6*",1.25530315253645,"6*",-0.482968067111374,"**"
"2","D02","Creo que sería muy importante contar con patio o jardín propio",0.73,1.1,1.76,2,3,5,"Distinguishes all",-0.366097238261797,"*",-1.02768895094059,"6*",-0.661591712678797,"***"
"3","D03","Preferiría un barrio en el que viva mucha gente",-0.03,-0.39,-0.96,0,-1,-2,"Distinguishes all",0.358803155652093,"*",0.935302188126955,"6*",0.576499032474861,"***"
"4","D04","Para mi sería muy importante la existencia de veredas anchas en buen estado dentro de mi barrio",1.28,1.28,1.02,3,3,2,"Consensus",0.00486872302678343,"",0.258870223961964,"",0.25400150093518,""
"5","D05","Preferiría vivir en un barrio en el que existan comercios y servicios pero no demasiados",0.32,0.65,-0.26,1,1,-1,"Distinguishes f3 only",-0.331869817327892,"",0.572270566895984,"**",0.904140384223877,"6*"
"6","D06","Me agradaría vivir en un conjunto habitacional cerrado con casas diferentes y espacio verde propio",-0.73,-0.77,1.43,-1,-1,4,"Distinguishes f3 only",0.0400768574632657,"",-2.15598010153678,"6*",-2.19605695900004,"6*"
"7","D07","Para mí sería muy importante contar con parques cerca de mi casa",1.3,1.35,0.98,3,4,2,"",-0.0463153679064547,"",0.319107120977108,"",0.365422488883563,"*"
"8","D08","Preferiría un barrio que no tenga muchas calles conectadas me gustaría inclusive que existan calles sin salida",-0.87,-1.43,-0.23,-2,-4,0,"Distinguishes all",0.556211062940418,"**",-0.64119073437149,"***",-1.19740179731191,"6*"
"9","D09","Me agradaría vivir en un edificio de más de seis pisos",-0.6,-1.89,-1.18,-1,-5,-3,"Distinguishes all",1.29267694378251,"6*",0.579989294993223,"**",-0.712687648789287,"***"
"10","D10","Me agradaría salir de mi casa y poder encontrar un taxi con facilidad",0.01,1.47,0.44,0,4,1,"Distinguishes all",-1.46143631801506,"6*",-0.437456549966747,"*",1.02397976804832,"6*"
